person,personLabel,country,countryLabel,genderLabel,wikipediaArticle
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://ar.wikipedia.org/wiki/%D8%A5%D8%AF%D9%88%D9%8A%D9%86_%D9%83%D8%A7%D9%85%D9%8A%D8%B1%D9%88%D9%86
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://en.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://af.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://arz.wikipedia.org/wiki/%D8%A7%D8%AF%D9%88%D9%8A%D9%86_%D9%83%D8%A7%D9%85%D9%8A%D8%B1%D9%88%D9%86
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://de.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://fr.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://id.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://zu.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://fon.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://st.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q125037,Edwin Cameron,http://www.wikidata.org/entity/Q258,South Africa,male,https://ts.wikipedia.org/wiki/Edwin_Cameron
http://www.wikidata.org/entity/Q153540,Gebisa Ejeta,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://en.wikipedia.org/wiki/Gebisa_Ejeta
http://www.wikidata.org/entity/Q153540,Gebisa Ejeta,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%B1%D0%B8%D1%81%D0%B0_%D0%AD%D0%B4%D0%B6%D0%B5%D1%82%D0%B0
http://www.wikidata.org/entity/Q153540,Gebisa Ejeta,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://fr.wikipedia.org/wiki/Gebisa_Ejeta
http://www.wikidata.org/entity/Q153540,Gebisa Ejeta,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://ha.wikipedia.org/wiki/Gebisa_Ejeta
http://www.wikidata.org/entity/Q153540,Gebisa Ejeta,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://id.wikipedia.org/wiki/Gebisa_Ejeta
http://www.wikidata.org/entity/Q153540,Gebisa Ejeta,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://zh.wikipedia.org/wiki/%E5%8A%A0%E6%AF%94%E8%90%A8%C2%B7%E5%9F%83%E8%A5%BF%E5%A1%94
http://www.wikidata.org/entity/Q163169,Zeresenay Alemseged,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://en.wikipedia.org/wiki/Zeresenay_Alemseged
http://www.wikidata.org/entity/Q163169,Zeresenay Alemseged,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://arz.wikipedia.org/wiki/%D8%B2%D9%8A%D8%B1%D9%8A%D8%B3%D9%8A%D9%86%D8%A7%D9%89_%D8%A7%D9%84%D9%8A%D9%85%D8%B3%D9%8A%D8%AC%D9%8A%D8%AF
http://www.wikidata.org/entity/Q163169,Zeresenay Alemseged,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://cs.wikipedia.org/wiki/Zeresenay_Alemseged
http://www.wikidata.org/entity/Q163169,Zeresenay Alemseged,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://de.wikipedia.org/wiki/Zeresenay_Alemseged
http://www.wikidata.org/entity/Q163169,Zeresenay Alemseged,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://eo.wikipedia.org/wiki/Zeresenay_Alemseged
http://www.wikidata.org/entity/Q163169,Zeresenay Alemseged,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://es.wikipedia.org/wiki/Zeresenay_Alemseged
http://www.wikidata.org/entity/Q163169,Zeresenay Alemseged,http://www.wikidata.org/entity/Q115,Ethiopia,male,https://fr.wikipedia.org/wiki/Zeresenay_Alemseged
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://ar.wikipedia.org/wiki/%D8%A2%D9%84%D9%86_%D9%83%D9%88%D8%B1%D9%85%D8%A7%D9%83
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://en.wikipedia.org/wiki/Allan_MacLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BC%D0%B0%D0%BA,_%D0%90%D0%BB%D0%BB%D0%B0%D0%BD"
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%BB%D0%B0%D0%BD_%D0%9A%D0%BE%D1%80%D0%BC%D0%B0%D0%BA
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%A8_%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%95%E0%A6%B2%E0%A6%BF%E0%A6%93%E0%A6%A1_%E0%A6%95%E0%A6%B0%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%95
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://af.wikipedia.org/wiki/Allan_McLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://arz.wikipedia.org/wiki/%D8%A2%D9%84%D9%86_%D9%83%D9%88%D8%B1%D9%85%D8%A7%D9%83
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://az.wikipedia.org/wiki/Allan_Kormak
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://azb.wikipedia.org/wiki/%D8%A2%D9%84%D9%86_%DA%A9%D9%88%D8%B1%D9%85%D8%A7%DA%A9
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://be.wikipedia.org/wiki/%D0%90%D0%BB%D0%B0%D0%BD_%D0%9A%D0%BE%D1%80%D0%BC%D0%B0%D0%BA
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://bg.wikipedia.org/wiki/%D0%90%D0%BB%D1%8A%D0%BD_%D0%9A%D0%BE%D1%80%D0%BC%D0%B0%D0%BA
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://ca.wikipedia.org/wiki/Allan_McLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://ckb.wikipedia.org/wiki/%D8%A6%D8%A7%D9%84%D8%A7%D9%86_%DA%A9%DB%86%D8%B1%D9%85%D8%A7%DA%A9
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://cs.wikipedia.org/wiki/Allan_McLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://da.wikipedia.org/wiki/Allan_M._Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://de.wikipedia.org/wiki/Allan_McLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://es.wikipedia.org/wiki/Allan_McLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://et.wikipedia.org/wiki/Allan_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://eu.wikipedia.org/wiki/Allan_McLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://fa.wikipedia.org/wiki/%D8%A2%D9%84%D9%86_%DA%A9%D9%88%D8%B1%D9%85%D8%A7%DA%A9
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://fi.wikipedia.org/wiki/Allan_McLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://fr.wikipedia.org/wiki/Allan_McLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://ga.wikipedia.org/wiki/Allan_Macleod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://ha.wikipedia.org/wiki/Allan_MacLeod_Cormack
http://www.wikidata.org/entity/Q223542,Allan McLeod Cormack,http://www.wikidata.org/entity/Q258,South Africa,male,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%9F_%D7%9E%D7%A7%D7%9C%D7%90%D7%95%D7%93_%D7%A7%D7%95%D7%A8%D7%9E%D7%90%D7%A7
